Year,State,Product,Count
2012,IL,Credit card or prepaid card,606
2012,IL,"Credit reporting, credit repair services, or other personal consumer reports",48
2012,IL,Mortgage,1178
2012,IL,Student loan,144
2012,IN,Bank account or service,122
2012,IN,Consumer Loan,19
2012,IN,Credit card or prepaid card,191
2012,IN,"Credit reporting, credit repair services, or other personal consumer reports",24
2012,IN,Mortgage,308
2012,IN,Student loan,47
2012,KS,Bank account or service,42
2012,KS,Consumer Loan,16
2012,KS,Credit card or prepaid card,93
2012,KS,"Credit reporting, credit repair services, or other personal consumer reports",14
2012,KS,Mortgage,146
2012,KS,Student loan,22
2012,KY,Bank account or service,84
2012,KY,Consumer Loan,16
2012,KY,Credit card or prepaid card,90
2012,KY,"Credit reporting, credit repair services, or other personal consumer reports",30
2012,KY,Mortgage,204
2012,KY,Student loan,24
2012,LA,Bank account or service,107
2012,LA,Consumer Loan,15
2012,LA,Credit card or prepaid card,112
2012,LA,"Credit reporting, credit repair services, or other personal consumer reports",19
2012,LA,Mortgage,248
2012,LA,Student loan,18
2012,MA,Bank account or service,405
2012,MA,Consumer Loan,39
2012,MA,Credit card or prepaid card,442
2012,MA,"Credit reporting, credit repair services, or other personal consumer reports",30
2012,MA,Mortgage,836
2012,MA,Student loan,97
2012,MD,Bank account or service,389
2012,MD,Consumer Loan,80
2012,MD,Credit card or prepaid card,484
2012,MD,"Credit reporting, credit repair services, or other personal consumer reports",48
2012,MD,Mortgage,1487
2012,MD,Student loan,82
2012,ME,Bank account or service,66
2012,ME,Consumer Loan,10
2012,ME,Credit card or prepaid card,80
2012,ME,"Credit reporting, credit repair services, or other personal consumer reports",14
2012,ME,Mortgage,126
2012,ME,Student loan,18
2012,MI,Bank account or service,304
2012,MI,Consumer Loan,56
2012,MI,Credit card or prepaid card,315
2012,MI,"Credit reporting, credit repair services, or other personal consumer reports",40
2012,MI,Mortgage,1459
2012,MI,Student loan,88
2012,MN,Bank account or service,170
2012,MN,Consumer Loan,29
2012,MN,Credit card or prepaid card,198
2012,MN,"Credit reporting, credit repair services, or other personal consumer reports",7
2012,MN,Mortgage,478
2012,MN,Student loan,53
2012,MO,Bank account or service,108
2012,MO,Consumer Loan,26
2012,MO,Credit card or prepaid card,212
2012,MO,"Credit reporting, credit repair services, or other personal consumer reports",29
2012,MO,Mortgage,519
2012,MO,Student loan,52
2012,MS,Bank account or service,41
2012,MS,Consumer Loan,12
2012,MS,Credit card or prepaid card,77
2012,MS,"Credit reporting, credit repair services, or other personal consumer reports",15
2012,MS,Mortgage,113
2012,MS,Student loan,6
2012,MT,Bank account or service,21
2012,MT,Consumer Loan,6
2012,MT,Credit card or prepaid card,24
2012,MT,"Credit reporting, credit repair services, or other personal consumer reports",3
2012,MT,Mortgage,58
2012,MT,Student loan,9
2012,NC,Bank account or service,321
2012,NC,Consumer Loan,63
2012,NC,Credit card or prepaid card,413
2012,NC,"Credit reporting, credit repair services, or other personal consumer reports",63
2012,NC,Mortgage,1041
2012,NC,Student loan,64
2012,ND,Bank account or service,6
2012,ND,Consumer Loan,1
2012,ND,Credit card or prepaid card,11
2012,ND,"Credit reporting, credit repair services, or other personal consumer reports",3
2012,ND,Mortgage,14
2012,ND,Student loan,5
2012,NE,Bank account or service,49
2012,NE,Consumer Loan,9
2012,NE,Credit card or prepaid card,54
2012,NE,"Credit reporting, credit repair services, or other personal consumer reports",1
2012,NE,Mortgage,108
2012,NE,Student loan,16
2012,NH,Bank account or service,77
2012,NH,Consumer Loan,5
2012,NH,Credit card or prepaid card,83
2012,NH,"Credit reporting, credit repair services, or other personal consumer reports",8
2012,NH,Mortgage,436
2012,NH,Student loan,22
2012,NJ,Bank account or service,653
2012,NJ,Consumer Loan,93
2012,NJ,Credit card or prepaid card,608
2012,NJ,"Credit reporting, credit repair services, or other personal consumer reports",54
2012,NJ,Mortgage,1462
2012,NJ,Student loan,119
2012,NM,Bank account or service,64
2012,NM,Consumer Loan,8
2012,NM,Credit card or prepaid card,77
2012,NM,"Credit reporting, credit repair services, or other personal consumer reports",7
2012,NM,Mortgage,138
2012,NM,Student loan,11
2012,NV,Bank account or service,133
2012,NV,Consumer Loan,15
2012,NV,Credit card or prepaid card,145
2012,NV,"Credit reporting, credit repair services, or other personal consumer reports",24
2012,NV,Mortgage,395
2012,NV,Student loan,20
2012,NY,Bank account or service,1210
2012,NY,Consumer Loan,145
2012,NY,Credit card or prepaid card,1486
2012,NY,"Credit reporting, credit repair services, or other personal consumer reports",124
2012,NY,Mortgage,2179
2012,NY,Student loan,302
2012,OH,Bank account or service,433
2012,OH,Consumer Loan,97
2012,OH,Credit card or prepaid card,582
2012,OH,"Credit reporting, credit repair services, or other personal consumer reports",84
2012,OH,Mortgage,1045
2012,OH,Student loan,134
2012,OK,Bank account or service,63
2012,OK,Consumer Loan,17
2012,OK,Credit card or prepaid card,112
2012,OK,"Credit reporting, credit repair services, or other personal consumer reports",12
2012,OK,Mortgage,154
2012,OK,Student loan,18
2012,OR,Bank account or service,131
2012,OR,Consumer Loan,31
2012,OR,Credit card or prepaid card,148
2012,OR,"Credit reporting, credit repair services, or other personal consumer reports",16
2012,OR,Mortgage,459
2012,OR,Student loan,41
2012,PA,Bank account or service,530
2012,PA,Consumer Loan,65
2012,PA,Credit card or prepaid card,546
2012,PA,"Credit reporting, credit repair services, or other personal consumer reports",70
2012,PA,Mortgage,1065
2012,PA,Student loan,180
2012,RI,Bank account or service,70
2012,RI,Consumer Loan,9
2012,RI,Credit card or prepaid card,67
2012,RI,"Credit reporting, credit repair services, or other personal consumer reports",9
2012,RI,Mortgage,104
2012,RI,Student loan,11
2012,SC,Bank account or service,101
2012,SC,Consumer Loan,23
2012,SC,Credit card or prepaid card,167
2012,SC,"Credit reporting, credit repair services, or other personal consumer reports",42
2012,SC,Mortgage,358
2012,SC,Student loan,27
2012,SD,Bank account or service,11
2012,SD,Consumer Loan,4
2012,SD,Credit card or prepaid card,31
2012,SD,"Credit reporting, credit repair services, or other personal consumer reports",5
2012,SD,Mortgage,33
2012,SD,Student loan,3
2012,TN,Bank account or service,140
2012,TN,Consumer Loan,30
2012,TN,Credit card or prepaid card,253
2012,TN,"Credit reporting, credit repair services, or other personal consumer reports",28
2012,TN,Mortgage,450
2012,TN,Student loan,32
2012,TX,Bank account or service,652
2012,TX,Consumer Loan,141
2012,TX,Credit card or prepaid card,870
2012,TX,"Credit reporting, credit repair services, or other personal consumer reports",170
2012,TX,Mortgage,1693
2012,TX,Student loan,117
2012,UT,Bank account or service,31
2012,UT,Consumer Loan,9
2012,UT,Credit card or prepaid card,83
2012,UT,"Credit reporting, credit repair services, or other personal consumer reports",17
2012,UT,Mortgage,173
2012,UT,Student loan,10
2012,VA,Bank account or service,334
2012,VA,Consumer Loan,57
2012,VA,Credit card or prepaid card,513
2012,VA,"Credit reporting, credit repair services, or other personal consumer reports",70
2012,VA,Mortgage,1109
2012,VA,Student loan,85
2012,VT,Bank account or service,26
2012,VT,Consumer Loan,10
2012,VT,Credit card or prepaid card,40
2012,VT,"Credit reporting, credit repair services, or other personal consumer reports",1
2012,VT,Mortgage,72
2012,VT,Student loan,9
2012,WA,Bank account or service,227
2012,WA,Consumer Loan,34
2012,WA,Credit card or prepaid card,294
2012,WA,"Credit reporting, credit repair services, or other personal consumer reports",33
2012,WA,Mortgage,805
2012,WA,Student loan,56
2012,WI,Bank account or service,118
2012,WI,Consumer Loan,29
2012,WI,Credit card or prepaid card,222
2012,WI,"Credit reporting, credit repair services, or other personal consumer reports",17
2012,WI,Mortgage,417
2012,WI,Student loan,43
2012,WV,Bank account or service,26
2012,WV,Consumer Loan,9
2012,WV,Credit card or prepaid card,58
2012,WV,"Credit reporting, credit repair services, or other personal consumer reports",4
2012,WV,Mortgage,68
2012,WV,Student loan,21
2012,WY,Bank account or service,7
2012,WY,Consumer Loan,3
2012,WY,Credit card or prepaid card,16
2012,WY,"Credit reporting, credit repair services, or other personal consumer reports",3
2012,WY,Mortgage,37
2012,WY,Student loan,6
2013,AL,Bank account or service,125
2013,AL,Consumer Loan,37
2013,AL,Credit card or prepaid card,114
2013,AL,"Credit reporting, credit repair services, or other personal consumer reports",161
2013,AL,Debt collection,143
2013,AL,"Money transfer, virtual currency, or money service",2
2013,AL,Mortgage,364
2013,AL,"Payday loan, title loan, or personal loan",4
2013,AL,Student loan,27
2013,AR,Bank account or service,60
2013,AR,Consumer Loan,23
2013,AR,Credit card or prepaid card,63
2013,AR,"Credit reporting, credit repair services, or other personal consumer reports",62
2013,AR,Debt collection,67
2013,AR,"Money transfer, virtual currency, or money service",2
2013,AR,Mortgage,159
2013,AR,Student loan,16
2013,AZ,Bank account or service,271
2013,AZ,Consumer Loan,58
2013,AZ,Credit card or prepaid card,301
2013,AZ,"Credit reporting, credit repair services, or other personal consumer reports",311
2013,AZ,Debt collection,269
2013,AZ,"Money transfer, virtual currency, or money service",12
2013,AZ,Mortgage,1159
2013,AZ,"Payday loan, title loan, or personal loan",6
2013,AZ,Student loan,47
2013,CA,Bank account or service,1789
2013,CA,Consumer Loan,325
2013,CA,Credit card or prepaid card,1797
2013,CA,"Credit reporting, credit repair services, or other personal consumer reports",2098
2013,CA,Debt collection,1533
2013,CA,"Money transfer, virtual currency, or money service",81
2013,CA,Mortgage,9044
2013,CA,"Payday loan, title loan, or personal loan",24
2013,CA,Student loan,280
2013,CO,Bank account or service,219
2013,CO,Consumer Loan,55
2013,CO,Credit card or prepaid card,258
2013,CO,"Credit reporting, credit repair services, or other personal consumer reports",232
2013,CO,Debt collection,194
2013,CO,"Money transfer, virtual currency, or money service",8
2013,CO,Mortgage,814
2013,CO,"Payday loan, title loan, or personal loan",4
2013,CO,Student loan,58
2013,CT,Bank account or service,190
2013,CT,Consumer Loan,49
2013,CT,Credit card or prepaid card,199
2013,CT,"Credit reporting, credit repair services, or other personal consumer reports",126
2013,CT,Debt collection,79
2013,CT,"Money transfer, virtual currency, or money service",3
2013,CT,Mortgage,624
2013,CT,Student loan,63
2013,DC,Bank account or service,105
2013,DC,Consumer Loan,20
2013,DC,Credit card or prepaid card,84
2013,DC,"Credit reporting, credit repair services, or other personal consumer reports",123
2013,DC,Debt collection,69
2013,DC,"Money transfer, virtual currency, or money service",5
2013,DC,Mortgage,240
2013,DC,"Payday loan, title loan, or personal loan",1
2013,DC,Student loan,31
2013,DE,Bank account or service,90
2013,DE,Consumer Loan,21
2013,DE,Credit card or prepaid card,91
2013,DE,"Credit reporting, credit repair services, or other personal consumer reports",47
2013,DE,Debt collection,46
2013,DE,"Money transfer, virtual currency, or money service",3
2013,DE,Mortgage,250
2013,DE,"Payday loan, title loan, or personal loan",1
2013,DE,Student loan,10
2013,FL,Bank account or service,1254
2013,FL,Consumer Loan,247
2013,FL,Credit card or prepaid card,1128
2013,FL,"Credit reporting, credit repair services, or other personal consumer reports",1327
2013,FL,Debt collection,954
2013,FL,"Money transfer, virtual currency, or money service",38
2013,FL,Mortgage,5553
2013,FL,"Payday loan, title loan, or personal loan",13
2013,FL,Student loan,172
2013,GA,Bank account or service,540
2013,GA,Consumer Loan,128
2013,GA,Credit card or prepaid card,359
2013,GA,"Credit reporting, credit repair services, or other personal consumer reports",494
2013,GA,Debt collection,462
2013,GA,"Money transfer, virtual currency, or money service",24
2013,GA,Mortgage,2784
2013,GA,"Payday loan, title loan, or personal loan",5
2013,GA,Student loan,94
2013,IA,Bank account or service,51
2013,IA,Consumer Loan,19
2013,IA,Credit card or prepaid card,73
2013,IA,"Credit reporting, credit repair services, or other personal consumer reports",62
2013,IA,Debt collection,50
2013,IA,"Money transfer, virtual currency, or money service",1
2013,IA,Mortgage,125
2013,IA,"Payday loan, title loan, or personal loan",1
2013,IA,Student loan,20
2013,ID,Bank account or service,30
2013,ID,Consumer Loan,9
2013,ID,Credit card or prepaid card,55
2013,ID,"Credit reporting, credit repair services, or other personal consumer reports",57
2013,ID,Debt collection,48
2013,ID,"Money transfer, virtual currency, or money service",1
2013,ID,Mortgage,145
2013,ID,Student loan,10
2013,IL,Bank account or service,515
2013,IL,Consumer Loan,91
2013,IL,Credit card or prepaid card,446
2013,IL,"Credit reporting, credit repair services, or other personal consumer reports",500
2013,IL,Debt collection,334
2013,IL,"Money transfer, virtual currency, or money service",30
2013,IL,Mortgage,1611
2013,IL,"Payday loan, title loan, or personal loan",4
2013,IL,Student loan,127
2013,IN,Bank account or service,130
2013,IN,Consumer Loan,18
2013,IN,Credit card or prepaid card,118
2013,IN,"Credit reporting, credit repair services, or other personal consumer reports",237
2013,IN,Debt collection,162
2013,IN,"Money transfer, virtual currency, or money service",4
2013,IN,Mortgage,416
2013,IN,"Payday loan, title loan, or personal loan",2
2013,IN,Student loan,56
2013,KS,Bank account or service,43
2013,KS,Consumer Loan,17
2013,KS,Credit card or prepaid card,77
2013,KS,"Credit reporting, credit repair services, or other personal consumer reports",75
2013,KS,Debt collection,75
2013,KS,"Money transfer, virtual currency, or money service",2
2013,KS,Mortgage,169
2013,KS,"Payday loan, title loan, or personal loan",2
2013,KS,Student loan,14
2013,KY,Bank account or service,87
2013,KY,Consumer Loan,33
2013,KY,Credit card or prepaid card,94
2013,KY,"Credit reporting, credit repair services, or other personal consumer reports",107
2013,KY,Debt collection,111
2013,KY,"Money transfer, virtual currency, or money service",1
2013,KY,Mortgage,278
2013,KY,Student loan,27
2013,LA,Bank account or service,107
2013,LA,Consumer Loan,34
2013,LA,Credit card or prepaid card,90
2013,LA,"Credit reporting, credit repair services, or other personal consumer reports",205
2013,LA,Debt collection,138
2013,LA,"Money transfer, virtual currency, or money service",3
2013,LA,Mortgage,339
2013,LA,"Payday loan, title loan, or personal loan",3
2013,LA,Student loan,32
2013,MA,Bank account or service,432
2013,MA,Consumer Loan,47
2013,MA,Credit card or prepaid card,336
2013,MA,"Credit reporting, credit repair services, or other personal consumer reports",203
2013,MA,Debt collection,184
2013,MA,"Money transfer, virtual currency, or money service",17
2013,MA,Mortgage,902
2013,MA,"Payday loan, title loan, or personal loan",3
2013,MA,Student loan,131
2013,MD,Bank account or service,423
2013,MD,Consumer Loan,117
2013,MD,Credit card or prepaid card,436
2013,MD,"Credit reporting, credit repair services, or other personal consumer reports",391
2013,MD,Debt collection,282
2013,MD,"Money transfer, virtual currency, or money service",18
2013,MD,Mortgage,1859
2013,MD,"Payday loan, title loan, or personal loan",4
2013,MD,Student loan,104
2013,ME,Bank account or service,45
2013,ME,Consumer Loan,13
2013,ME,Credit card or prepaid card,67
2013,ME,"Credit reporting, credit repair services, or other personal consumer reports",26
2013,ME,Debt collection,26
2013,ME,Mortgage,165
2013,ME,Student loan,18
2013,MI,Bank account or service,357
2013,MI,Consumer Loan,100
2013,MI,Credit card or prepaid card,290
2013,MI,"Credit reporting, credit repair services, or other personal consumer reports",309
2013,MI,Debt collection,282
2013,MI,"Money transfer, virtual currency, or money service",10
2013,MI,Mortgage,1774
2013,MI,"Payday loan, title loan, or personal loan",2
2013,MI,Student loan,91
2013,MN,Bank account or service,183
2013,MN,Consumer Loan,29
2013,MN,Credit card or prepaid card,172
2013,MN,"Credit reporting, credit repair services, or other personal consumer reports",128
2013,MN,Debt collection,109
2013,MN,"Money transfer, virtual currency, or money service",3
2013,MN,Mortgage,623
2013,MN,"Payday loan, title loan, or personal loan",1
2013,MN,Student loan,44
2013,MO,Bank account or service,140
2013,MO,Consumer Loan,47
2013,MO,Credit card or prepaid card,142
2013,MO,"Credit reporting, credit repair services, or other personal consumer reports",177
2013,MO,Debt collection,176
2013,MO,"Money transfer, virtual currency, or money service",11
2013,MO,Mortgage,629
2013,MO,"Payday loan, title loan, or personal loan",3
2013,MO,Student loan,46
2013,MS,Bank account or service,40
2013,MS,Consumer Loan,23
2013,MS,Credit card or prepaid card,44
2013,MS,"Credit reporting, credit repair services, or other personal consumer reports",78
2013,MS,Debt collection,51
2013,MS,"Money transfer, virtual currency, or money service",3
2013,MS,Mortgage,173
2013,MS,"Payday loan, title loan, or personal loan",1
2013,MS,Student loan,9
2013,MT,Bank account or service,13
2013,MT,Consumer Loan,4
2013,MT,Credit card or prepaid card,30
2013,MT,"Credit reporting, credit repair services, or other personal consumer reports",21
2013,MT,Debt collection,29
2013,MT,Mortgage,63
2013,MT,Student loan,6
2013,NC,Bank account or service,397
2013,NC,Consumer Loan,101
2013,NC,Credit card or prepaid card,348
2013,NC,"Credit reporting, credit repair services, or other personal consumer reports",356
2013,NC,Debt collection,228
2013,NC,"Money transfer, virtual currency, or money service",17
2013,NC,Mortgage,1504
2013,NC,"Payday loan, title loan, or personal loan",3
2013,NC,Student loan,55
2013,ND,Bank account or service,8
2013,ND,Consumer Loan,4
2013,ND,Credit card or prepaid card,10
2013,ND,"Credit reporting, credit repair services, or other personal consumer reports",16
2013,ND,Debt collection,10
2013,ND,Mortgage,20
2013,ND,Student loan,1
2013,NE,Bank account or service,45
2013,NE,Consumer Loan,16
2013,NE,Credit card or prepaid card,54
2013,NE,"Credit reporting, credit repair services, or other personal consumer reports",31
2013,NE,Debt collection,32
2013,NE,"Money transfer, virtual currency, or money service",3
2013,NE,Mortgage,119
2013,NE,Student loan,16
2013,NH,Bank account or service,62
2013,NH,Consumer Loan,12
2013,NH,Credit card or prepaid card,64
2013,NH,"Credit reporting, credit repair services, or other personal consumer reports",48
2013,NH,Debt collection,31
2013,NH,Mortgage,372
2013,NH,"Payday loan, title loan, or personal loan",2
2013,NH,Student loan,26
2013,NJ,Bank account or service,693
2013,NJ,Consumer Loan,153
2013,NJ,Credit card or prepaid card,584
2013,NJ,"Credit reporting, credit repair services, or other personal consumer reports",417
2013,NJ,Debt collection,374
2013,NJ,"Money transfer, virtual currency, or money service",24
2013,NJ,Mortgage,2123
2013,NJ,"Payday loan, title loan, or personal loan",5
2013,NJ,Student loan,148
2013,NM,Bank account or service,61
2013,NM,Consumer Loan,14
2013,NM,Credit card or prepaid card,60
2013,NM,"Credit reporting, credit repair services, or other personal consumer reports",121
2013,NM,Debt collection,69
2013,NM,"Money transfer, virtual currency, or money service",3
2013,NM,Mortgage,192
2013,NM,Student loan,13
2013,NV,Bank account or service,129
2013,NV,Consumer Loan,28
2013,NV,Credit card or prepaid card,163
2013,NV,"Credit reporting, credit repair services, or other personal consumer reports",160
2013,NV,Debt collection,138
2013,NV,"Money transfer, virtual currency, or money service",9
2013,NV,Mortgage,522
2013,NV,"Payday loan, title loan, or personal loan",7
2013,NV,Student loan,17
2013,NY,Bank account or service,1120
2013,NY,Consumer Loan,199
2013,NY,Credit card or prepaid card,1222
2013,NY,"Credit reporting, credit repair services, or other personal consumer reports",974
2013,NY,Debt collection,749
2013,NY,"Money transfer, virtual currency, or money service",46
2013,NY,Mortgage,2829
2013,NY,"Payday loan, title loan, or personal loan",12
2013,NY,Student loan,281
2013,OH,Bank account or service,448
2013,OH,Consumer Loan,148
2013,OH,Credit card or prepaid card,454
2013,OH,"Credit reporting, credit repair services, or other personal consumer reports",359
2013,OH,Debt collection,352
2013,OH,"Money transfer, virtual currency, or money service",21
2013,OH,Mortgage,1355
2013,OH,"Payday loan, title loan, or personal loan",10
2013,OH,Student loan,132
2013,OK,Bank account or service,62
2013,OK,Consumer Loan,26
2013,OK,Credit card or prepaid card,86
2013,OK,"Credit reporting, credit repair services, or other personal consumer reports",109
2013,OK,Debt collection,102
2013,OK,"Money transfer, virtual currency, or money service",2
2013,OK,Mortgage,217
2013,OK,Student loan,21
2013,OR,Bank account or service,142
2013,OR,Consumer Loan,31
2013,OR,Credit card or prepaid card,154
2013,OR,"Credit reporting, credit repair services, or other personal consumer reports",177
2013,OR,Debt collection,150
2013,OR,"Money transfer, virtual currency, or money service",3
2013,OR,Mortgage,560
2013,OR,"Payday loan, title loan, or personal loan",3
2013,OR,Student loan,36
2013,PA,Bank account or service,612
2013,PA,Consumer Loan,139
2013,PA,Credit card or prepaid card,517
2013,PA,"Credit reporting, credit repair services, or other personal consumer reports",512
2013,PA,Debt collection,425
2013,PA,"Money transfer, virtual currency, or money service",28
2013,PA,Mortgage,1505
2013,PA,"Payday loan, title loan, or personal loan",9
2013,PA,Student loan,195
2013,RI,Bank account or service,71
2013,RI,Consumer Loan,17
2013,RI,Credit card or prepaid card,40
2013,RI,"Credit reporting, credit repair services, or other personal consumer reports",34
2013,RI,Debt collection,36
2013,RI,"Money transfer, virtual currency, or money service",1
2013,RI,Mortgage,129
2013,RI,"Payday loan, title loan, or personal loan",9
2013,RI,Student loan,7
2013,SC,Bank account or service,116
2013,SC,Consumer Loan,43
2013,SC,Credit card or prepaid card,129
2013,SC,"Credit reporting, credit repair services, or other personal consumer reports",208
2013,SC,Debt collection,189
2013,SC,"Money transfer, virtual currency, or money service",5
2013,SC,Mortgage,511
2013,SC,"Payday loan, title loan, or personal loan",5
2013,SC,Student loan,31
2013,SD,Bank account or service,19
2013,SD,Consumer Loan,3
2013,SD,Credit card or prepaid card,27
2013,SD,"Credit reporting, credit repair services, or other personal consumer reports",11
2013,SD,Debt collection,21
2013,SD,Mortgage,35
2013,SD,Student loan,7
2013,TN,Bank account or service,214
2013,TN,Consumer Loan,60
2013,TN,Credit card or prepaid card,194
2013,TN,"Credit reporting, credit repair services, or other personal consumer reports",213
2013,TN,Debt collection,196
2013,TN,"Money transfer, virtual currency, or money service",4
2013,TN,Mortgage,615
2013,TN,"Payday loan, title loan, or personal loan",3
2013,TN,Student loan,49
2013,TX,Bank account or service,732
2013,TX,Consumer Loan,240
2013,TX,Credit card or prepaid card,813
2013,TX,"Credit reporting, credit repair services, or other personal consumer reports",1814
2013,TX,Debt collection,1042
2013,TX,"Money transfer, virtual currency, or money service",36
2013,TX,Mortgage,2263
2013,TX,"Payday loan, title loan, or personal loan",25
2013,TX,Student loan,140
2013,UT,Bank account or service,47
2013,UT,Consumer Loan,8
2013,UT,Credit card or prepaid card,73
2013,UT,"Credit reporting, credit repair services, or other personal consumer reports",65
2013,UT,Debt collection,77
